category,sub_category,item_type,item_name,brand,sale_price_editable,sale_price,shortage_alert,expire_alert,barcode,description,direct_of_use,base_unit,packet_name,packet_price,packet_barcode,base_unit_qty,default_unit,description_arabic,description_kurdish
category,sub_category,item_type,item_name,Brand,sale price editable,sale_price,Quantity alert,Expiration alert,barcode,description,direct_of_use,UoM,Alt_UoM,Alt_UoM price,packet_barcode,base_unit_qty,default_unit,وصف,وەسف
Cosmetic,Candles,Candle,Book Loft Scented Candle 411g,Bath And Body Works,0,26000,0,0,667559307259,"Bath & Body Works Book Loft Scented Candle 411 g – a warm and cozy 3-wick candle with notes of aged paper, soft vanilla, and subtle spices, crafted with premium fragrance oils for a comforting, library-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,"شمعة باث آند بودي ووركس المعطرة ""بوك لوفت"" 411 غرام – شمعة دافئة ومريحة بثلاث فتائل، بعبق الورق العتيق والفانيليا الناعمة والتوابل الرقيقة، صُنعت بزيوت عطرية فاخرة لتمنحك عبيرًا مريحًا ومستوحى من المكتبات.",Bath & Body Works Book Loft مۆمی بۆنخۆشکراو ٤١١ گ – مۆمێکی سێ فیتڵەیی گەرم و دڵگیر، بە بۆنەکانی کاغەزی کۆن، ڤانیلای نەرم، و بەهاراتی ناسک، کە بە زەیتی بۆنی نایاب دروستکراوە بۆ بەخشینی بۆنێکی ئاسوودەبەخش و کتێبخانەیی.
Cosmetic,Candles,Candle,Jasmine Oud Scented Candle 411g,Bath And Body Works,0,26000,0,0,667558871485,"Bath & Body Works Jasmine Oud Scented Candle 411 g – a luxurious 3-wick candle with notes of jasmine petals, rich oud wood, and soft amber, crafted with premium fragrance oils for an exotic, elegant aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,شمعة باث آند بودي ووركس معطرة برائحة الياسمين والعود 411 جم – شمعة فاخرة بثلاث فتائل مع نفحات من بتلات الياسمين، خشب العود الغني، والعنبر الناعم، مصنوعة بزيوت عطرية فاخرة لرائحة غريبة وأنيقة.,Bath & Body Works مۆمی بۆنخۆشی یاسەمین و عود ٤١١ گرام – مۆمێکی لوکسی سێ فیتڵەیی بە بۆنی گوڵەیاسەمین، داری عودی دەوڵەمەند و عەنبەری نەرم، دروستکراوە بە ڕۆنی بۆنخۆشی نایاب بۆ بۆنێکی جیاواز، ئەنیق و سەرنجڕاکێش.
Cosmetic,Candles,Candle,Twisted Peppermint Scented Candle 411g,Bath And Body Works,0,27500,0,0,667557422350,"Bath & Body Works Twisted Peppermint Scented Candle 411 g – a festive 3-wick candle with notes of peppermint, dark chocolate, and sweet vanilla, crafted with premium fragrance oils for a refreshing, holiday-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,باث آند بودي ووركس شمعة معطرة برائحة النعناع تويستد 411 جم – شمعة احتفالية بثلاث فتائل، بنفحات من النعناع والشوكولاتة الداكنة والفانيليا الحلوة، محضّرة بزيوت عطرية فاخرة لتمنحك عبيرًا منعشًا مستوحى من أجواء الأعياد.,Bath & Body Works Twisted Peppermint Scented Candle 411 گرام – مۆمێکی جەژنانەی ٣ فتیڵەیی، کە بۆنەکانی نەعنا، چوکولاتی تاڵ، و ڤانیلای شیرین لەخۆدەگرێت، دروستکراوە بە زەیتە بۆنخۆشکەرە کوالێتی بەرزەکان بۆ بۆنێکی گەشاوە و وەرگیراو لە پشووەکان.
Cosmetic,Candles,Candle,Georgi Peach Scented Candle 411g,Bath And Body Works,0,27500,0,0,667550585052,"Bath & Body Works Georgia Peach Scented Candle 411 g – a sweet and fruity 3-wick candle with notes of ripe peach, juicy nectar, and soft vanilla, crafted with premium fragrance oils for a bright, summery aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,شمعة باث آند بودي وركس المعطرة برائحة خوخ جورجيا 411 غ – شمعة بثلاثة فتائل، حلوة وفاكهية، بنفحات من الخوخ الناضج والرحيق الغني والفانيليا الناعمة، مصنوعة بزيوت عطرية فاخرة لأريج مشرق وصيفي.,مۆمێکی بۆنخۆشی باس ئەند بۆدی وۆرکس گۆرجیا پیج ٤١١ گ – مۆمێکی سێ فیتارەی شیرین و میوەییە بە نۆتەکانی هەرمێی پێگەیشتوو، شەربەتی ناسک، و ڤانێلای نەرم، کە بە زەیتی بۆنخۆشی نایاب دروستکراوە بۆ بۆنێکی گەش و هاوینە.
